_time,AP_channel,RSSI,bssid,channel_width,client_mode,client_name,client_opportunity_medium_use,distance_m,download_packet_loss,download_retrans,download_tcp_rtt_ms,jitter_ms,latency_ms,link_speed_mbps,local,mac,obstacles,radio,router_connected_time_sec,router_expected_throughput_mbps,router_noise,router_opportunity_medium_use,router_rx_bytes,router_rx_drop_misc,router_rx_duration_us,router_rx_packets,router_rx_rate_mbps,router_signal_avg_dbm,router_signal_dbm,router_snr,router_tx_bytes,router_tx_duration_us,router_tx_failed,router_tx_packets,router_tx_rate_mbps,router_tx_retries,signal_level,site_survey_same_channel_aps,site_survey_strongest_channel,site_survey_strongest_rssi,site_survey_strongest_ssid,site_survey_total_aps,speedtest_down_mbps,speedtest_up_mbps,ssid,stored_at,upload_packet_loss,upload_retrans,upload_tcp_rtt_ms
2026-05-30 21:12:11.313000+00:00,149,-34,cc:d8:43:b1:ea:4f,80,WiFi 6 (11ax),netprobe-linux,2,2.0,0.6883139388654481,3459272,1.392,16.186666666666667,11.123,234,sala,80:38:fb:61:54:f9,0,5ghz,113,619.0,-92,3,147364586,2,2765417,148293,650.0,-40,-38,52,529520827,7379828,833,358508,780.0,821,4,1,3,-23,069-2G,30,398.7634273875939,108.1036969611329,069-5G,2026-05-30T21:12:38.984Z,2.4549490728649777,1222,1.52
2026-05-30 21:12:59.729000+00:00,149,-29,cc:d8:43:b1:ea:4f,80,WiFi 5 (11ac),motorola moto g(9) plus,1,2.0,0.1420282386006226,386616,11.426,271.41999999999996,262.671,433,sala,08:aa:55:1d:45:66,0,5ghz,14332,330.359,-92,3,324835900,1,7816660,244145,433.3,-45,-46,47,325951080,6939205,126,259491,390.0,126,,0,3,-44,069-2G,29,242.3096163918041,245.94937265842967,069-5G,2026-05-30T21:13:02.876Z,0.0,0,11.94
2026-05-30 21:13:59.439000+00:00,149,-41,cc:d8:43:b1:ea:4f,80,WiFi 5 (11ac),motorola moto g(9) play,1,2.0,0.00035525394081626364,1448,51.251,5.332222222222222,16.820999999999998,433,sala,cc:0d:f2:26:b1:f7,0,5ghz,33095,330.359,-92,3,228274040,1,6281708,210418,433.3,-51,-52,41,443115229,9446473,298,324875,390.0,298,,0,3,-27,069-2G,22,333.79983843231355,170.70813103654285,069-5G,2026-05-30T21:14:03.153Z,0.0,0,7.057
2026-05-30 21:15:32.622000+00:00,149,-34,cc:d8:43:b1:ea:4f,80,WiFi 6 (11ax),netprobe-linux,1,2.0,0.0,0,1.701,1.8033333333333335,4.95,585,sala,c0:b5:d7:1a:c1:a1,0,5ghz,33216,619.0,-91,3,102505628,0,1743393,137064,780.0,-48,-42,43,758264625,9000391,11393,506705,780.0,11393,4,0,3,-29,069-2G,39,576.6444348672621,73.3115943232036,069-5G,2026-05-30T21:16:04.734Z,0.0,0,1.967
2026-05-30 21:17:35.254000+00:00,149,-26,cc:d8:43:b1:ea:4f,80,WiFi 6 (11ax),netprobe-linux,2,2.0,0.6605908659064292,3882088,1.576,0.22333333333333338,2.507,234,sala,80:38:fb:61:54:f9,0,5ghz,108,619.0,-92,3,31005983,0,338477,33917,866.7,-42,-39,50,90545640,780571,364,62620,780.0,376,4,1,3,-17,069-2G,34,466.60762142726287,130.88779903665133,069-5G,2026-05-30T21:18:02.613Z,0.0,0,1.371
2026-05-30 21:18:20.369000+00:00,149,-29,cc:d8:43:b1:ea:4f,80,WiFi 5 (11ac),motorola moto g(9) plus,1,2.0,0.001173855069756824,2896,30.042,0.0,0.0,433,sala,08:aa:55:1d:45:66,0,5ghz,14653,330.359,-92,3,337714805,1,7888161,257603,433.3,-45,-46,48,290577514,6143209,497,237018,390.0,497,,0,3,-39,069-2G,26,216.2530839328537,255.40897191794463,069-5G,2026-05-30T21:18:23.580Z,0.0,0,10.143
2026-05-30 21:19:20.067000+00:00,149,-42,cc:d8:43:b1:ea:4f,80,WiFi 5 (11ac),motorola moto g(9) play,1,2.0,0.0007344414512912039,2896,26.622,5.223333333333333,15.745,433,sala,cc:0d:f2:26:b1:f7,0,5ghz,33416,330.359,-92,3,204457148,2,5901782,188549,433.3,-52,-53,39,445384285,9733185,186,323975,390.0,186,,0,3,-27,069-2G,22,334.60507767669696,152.67383439490445,069-5G,2026-05-30T21:19:23.746Z,0.0,0,5.658
2026-05-30 21:21:01.429000+00:00,149,-33,cc:d8:43:b1:ea:4f,80,WiFi 6 (11ax),netprobe-linux,2,2.0,0.0,0,2.665,2.1333333333333333,3.9530000000000003,780,sala,c0:b5:d7:1a:c1:a1,0,5ghz,33545,619.0,-92,3,100449440,0,1852442,133825,780.0,-48,-42,44,752951198,8932132,9022,503578,780.0,9022,4,1,3,-24,069-2G,38,573.0138023451874,71.16969091525444,069-5G,2026-05-30T21:21:33.443Z,0.0,0,1.718
2026-05-30 21:22:59.298000+00:00,149,-35,cc:d8:43:b1:ea:4f,80,WiFi 6 (11ax),netprobe-linux,2,2.0,0.07786816563683611,409784,1.475,6.711111111111111,18.055,234,sala,80:38:fb:61:54:f9,0,5ghz,109,619.0,-92,3,0,0,0,0,780.0,-42,-41,50,0,0,0,0,780.0,0,4,1,3,-21,069-2G,27,421.696246571214,104.84448446151742,069-5G,2026-05-30T21:23:27.147Z,0.1477884513881558,84,1.311
2026-05-30 21:23:40.976000+00:00,149,-29,cc:d8:43:b1:ea:4f,80,WiFi 5 (11ac),motorola moto g(9) plus,1,2.0,0.15129725965276486,386616,33.431,3.8244444444444445,15.624,433,sala,08:aa:55:1d:45:66,0,5ghz,14973,330.359,-92,3,321918608,1,7705292,255828,433.3,-45,-47,48,292657855,6176185,176,237371,390.0,176,,0,3,-39,069-2G,26,217.0695845738835,242.39592287815543,069-5G,2026-05-30T21:23:44.096Z,0.0,0,8.688
