Elemento,X1_px,Y1_px,X2_px,Y2_px,Comprimento_px,Comprimento_m
Parede_1,800,660,725,660,75.0,3.75
Parede_2,725,660,725,635,25.0,1.25
Parede_3,725,635,735,635,10.0,0.5
Parede_4,725,635,725,580,55.0,2.75
Parede_5,725,580,735,580,10.0,0.5
Parede_6,725,580,725,540,40.0,2.0
Parede_7,725,540,735,540,10.0,0.5
Parede_8,725,540,725,510,30.0,1.5
Parede_9,725,510,735,510,10.0,0.5
Parede_10,735,510,755,510,20.0,1.0
Parede_11,755,510,755,525,15.0,0.75
Parede_12,755,525,780,525,25.0,1.25
Parede_13,780,525,790,520,11.18,0.56
Parede_14,790,520,790,515,5.0,0.25
Parede_15,755,525,755,540,15.0,0.75
Parede_16,730,510,730,490,20.0,1.0
Parede_17,730,490,725,490,5.0,0.25
Parede_18,725,490,725,435,55.0,2.75
Parede_19,725,435,790,435,65.0,3.25
Parede_20,790,435,790,475,40.0,2.0
Parede_21,730,490,790,490,60.0,3.0
Parede_22,790,490,790,495,5.0,0.25
Parede_23,725,435,725,360,75.0,3.75
Parede_24,725,360,780,360,55.0,2.75
Parede_25,780,360,780,410,50.0,2.5
Parede_26,780,410,785,410,5.0,0.25
Parede_27,780,365,810,365,30.0,1.5
Parede_28,810,365,810,530,165.0,8.25
Parede_29,800,545,800,635,90.0,4.5
Parede_30,800,635,780,635,20.0,1.0
Parede_31,800,635,800,660,25.0,1.25
